,Vera,MUSLO DE CONEJO KG.,15,40 €,
,Vera,MUSLO DE PAVO KG.,5,30 €,
,Vera,MUSLO Y CONTRAMUSLO (TRASERO) DE POLLO KG.,3,50 €,
,Vera,MUSLO Y CONTRAMUSLO DE POLLO CAMPERO KG.,5,95 €,
,Vera,MUSLO Y CONTRAMUSLO DE POLLO CAMPERO SIN HUESO KG.,6,35 €,
,Vera,MUSLO Y CONTRAMUSLO DE POLLO SIN HUESO KG.,4,20 €,
,Vera,MUSLO Y CONTRAMUSLO DE POLLO SIN PIEL Y SIN HUESO KG.,9,90 €,
,Vera,OSSOBUCCO DE TERNERA DE GANADAEROS ARTESANOS KG.,9,40 €,
,Vera,PALETILLA DE CONEJO KG.,17,70 €,
,Vera,PALETILLA DE CORDERO KG.,14,95 €,
,Vera,PALETILLA DE CORDERO LECHAL BURGALÉS KG.,27,90 €,
,Vera,PALETILLA DE CORDERO LECHAL MALLORQUÍN KG.,26,60 €,
,Vera,PANCETA DE CERDO DUROC KG.,8,95 €,
,Vera,PAVITA KG.,17,55 €,
,Vera,PAVITA NEGRA KG.,46,35 €,
,Vera,PAVO KG.,21,00 €,
,Vera,PECHO DE TERNERA DE GANADEROS ARTESANOS KG.,6,93 €,
,Vera,PECHUGA DE PAVO KG.,10,50 €,
,Vera,PECHUGA DE POLLO CAMPERO KG.,11,25 €,
,Vera,PECHUGA DE POLLO KG.,7,95 €,
,Vera,PICAÑA DE ANGUS DE IRLANDA KG.,25,95 €,
,Vera,PICAÑA DE ANGUS U.S.A KG.,39,40 €,
,Vera,PICAÑA DE CEBÓN KG.,17,40 €,
,Vera,PICANTÓN UNIDAD.,4,95 €,
,Vera,PIERNA DE CORDERO KG.,20,48 €,
,Vera,PIERNA DE CORDERO LECHAL BURGALÉS KG.,16,80 €,
,Vera,PIERNA DE CORDERO LECHAL MALLORQUÍN DESHUESADA KG.,18,65 €,
,Vera,PIERNA DE CORDERO LECHAL MALLORQUÍN KG.,13,95 €,
,Vera,PINTADA CONGELADA KG.,15,00 €,
,Vera,PLUMA DE CERDO IBÉRICO CONGELADO KG.,33,15 €,
,Vera,POLLO CAMPERO KG.,14,62 €,
,Vera,POLLO CAMPERO TROCEADO KG.,11,90 €,
,Vera,POLLO ECOLÓGICO ENTERO KG.,37,15 €,
,Vera,POLLO ENTERO KG.,9,50 €,
,Vera,PRESA DE CERDO IBÉRICO CONGELADO KG.,33,15 €,
,Vera,PULARDA KG.,21,88 €,
,Vera,RABILLO DE TERNERA DE GANADEROS ARTESANOS KG.,9,80 €,
,Vera,RABO DE CEBÓN KG.,11,25 €,
,Vera,RABO DE TERNERA DE GANADEROS ARTESANOS KG.,12,01 €,
,Vera,REDONDO DE TERNERA BLANCA KG.,19,95 €,
,Vera,RÍOS MORCILLA DE ARROZ DE BURGOS KG.,1,56 €,
,Vera,SECRETO DE CERDO IBÉRICO CONGELADO KG.,30,80 €,
,Vera,SOLOMILLO DE ANGUS DE IRLANDA KG.,61,25 €,
,Vera,SOLOMILLO DE CEBÓN EXTRA KG.,49,25 €,
,Vera,SOLOMILLO DE CERDO DUROC KG.,12,30 €,
,Vera,SOLOMILLO DE CERDO IBÉRICO CONGELADO KG.,17,80 €,
,Vera,SOLOMILLO DE CERDO KG.,10,25 €,
,Vera,SOLOMILLO DE POLLO KG.,8,10 €,
,Vera,SOLOMILLO DE TERNERA BLANCA KG.,48,90 €,
,Vera,SOLOMILLO DE TERNERA DE GANADEROS ARTESANOS KG.,42,00 €,
,Vera,SOLOMILLO DE TERNERA GALLEGA KG.,42,00 €,
,Vera,T- BONE DE TERNERA DE GANADEROS ARTESANOS KG.,25,40 €,
,Vera,TAPA DE TERNERA BLANCA KG.,22,00 €,
,Vera,TAPA DE TERNERA DE GANADEROS ARTESANOS KG.,11,80 €,
,Vera,TAPA DE TERNERA GALLEGA KG.,12,95 €,
,Vera,TAPILLA DE CADERA O PICAÑA DE TERNERA DE GANADEROS ARTESANOS KG.,15,20 €,
,Vera,TAPILLA DE CADERA O PICAÑA DE TERNERA GALLEGA KG.,15,20 €,
,Vera,TIRA DE ASADO DE ANGUS DE IRLANDA KG.,11,00 €,
,Vera,TIRA DE ASADO DE ANGUS U.S.A. KG.,33,11 €,
,Vera,TIRA DE ASADO DE TERNERA DE GANADEROS ARTESANOS KG.,8,90 €,
,Vera,TOMAHAWK O CHULETÓN DE TERNERA DE GANADEROS ARTESANOS KG.,29,20 €,
,Vera,TRASERO DE POLLO CAMPERO SIN PIEL Y SIN HUESO KG.,8,90 €,
,Vera,TRASERO DE POLLO SIN HUESO KG.,7,75 €,
,Vera,VERA HAMBURGUESA DE CEBÓN KG,11,90 €,
,Vera,CARRILLADA DE CERDO IBÉRICO CONGELADA KG.,15,80 €,
,Vera,CARRILLADA DE CERDO SIN HUESO KG.,9,30 €,

